slide_id,low_count,high_count,edges,low_with_child_count,low_child_count_mean,low_child_count_median,high_with_parent_count,unmapped_high_count,high_parent_coverage,low_child_coverage,padding_low_gt50_count,padding_high_gt50_count
2474718-B4,154,2123,3534,154,22.948051948051948,25.0,2077,46,0.9783325482807348,1.0,0,0
2474721-B,309,4548,8058,309,26.07766990291262,30.0,4468,80,0.9824098504837291,1.0,0,0
2474739-B2,315,4727,8302,315,26.355555555555554,30.0,4668,59,0.9875185106833086,1.0,0,0
2474901-B,250,3626,7576,250,30.304,36.0,3584,42,0.9884169884169884,1.0,0,0
2475011-B2,183,2646,5431,183,29.6775956284153,33.0,2616,30,0.9886621315192744,1.0,0,0
2475022-B,224,3274,5738,224,25.616071428571427,29.0,3229,45,0.9862553451435553,1.0,0,0
2475126-B2,231,3334,6524,231,28.242424242424242,30.0,3241,93,0.9721055788842231,1.0,0,0
2475159-B,178,2588,5461,178,30.679775280898877,34.0,2583,5,0.9980680061823802,1.0,0,0
2475184-B2,243,3242,6599,243,27.156378600823047,29.0,3198,44,0.986428130783467,1.0,0,0
2475349-B2,132,1861,2991,132,22.65909090909091,25.0,1773,88,0.9527135948414831,1.0,0,0
2476242-B2,240,3500,7292,240,30.383333333333333,34.5,3462,38,0.9891428571428571,1.0,0,7
2476250-B2,79,1047,1407,79,17.810126582278482,18.0,1003,44,0.9579751671442216,1.0,0,0
2476252-B2,120,1594,3307,120,27.558333333333334,32.0,1577,17,0.9893350062735258,1.0,0,0
2476295-B3,249,3732,6549,249,26.301204819277107,30.0,3655,77,0.9793676312968917,1.0,0,0
2476358-B2,212,3078,4321,212,20.382075471698112,24.0,3008,70,0.9772579597141,1.0,0,0
2476376-B2,262,3675,5062,262,19.3206106870229,22.0,3551,124,0.9662585034013605,1.0,0,0
2476391-B2,154,2214,3794,154,24.636363636363637,28.0,2173,41,0.9814814814814815,1.0,0,0
2476681-B2,172,2291,3957,172,23.00581395348837,26.0,2224,67,0.9707551287647316,1.0,0,0
2476750-B,320,4596,8171,320,25.534375,29.0,4547,49,0.9893385552654482,1.0,0,0
2476834-B3,303,4328,9115,303,30.082508250825082,34.0,4260,68,0.9842883548983364,1.0,14,0
2476856-B2,260,3535,7295,260,28.057692307692307,32.0,3478,57,0.9838755304101838,1.0,0,0
2476983-B,181,2273,3838,181,21.204419889502763,22.0,2229,44,0.9806423229212494,1.0,0,0
2476984-B2,79,1070,1845,79,23.354430379746834,26.0,1059,11,0.9897196261682243,1.0,0,0
2477039-B,247,3531,6325,247,25.60728744939271,30.0,3507,24,0.9932030586236194,1.0,0,0
2477053-B3,396,5849,12623,396,31.876262626262626,36.0,5845,4,0.9993161224140878,1.0,0,0
2477058-B2,224,3382,4938,224,22.044642857142858,25.0,3304,78,0.976936723832052,1.0,0,0
2477118-B3,221,3195,6833,221,30.918552036199095,36.0,3186,9,0.9971830985915493,1.0,0,0
2477118-B4,167,2364,3563,167,21.335329341317365,25.0,2348,16,0.9932318104906938,1.0,0,0
2477189-B2,291,4316,9236,291,31.738831615120276,36.0,4301,15,0.9965245597775718,1.0,0,0
2477189-B3,129,1775,3677,129,28.503875968992247,31.0,1757,18,0.9898591549295774,1.0,0,0
2477274-B3,127,1675,2840,127,22.362204724409448,24.0,1651,24,0.9856716417910448,1.0,0,0
2477285-B2,221,3146,5551,221,25.11764705882353,29.0,3122,24,0.9923712650985378,1.0,0,0
2477299-B2,396,5990,12500,396,31.565656565656564,36.0,5866,124,0.9792988313856428,1.0,0,0
2477473-B2,280,4199,7091,280,25.325,30.0,4058,141,0.9664205763276971,1.0,0,0
2477476-B2,313,4584,8073,313,25.792332268370608,30.0,4529,55,0.9880017452006981,1.0,0,0
2477541-B2,141,1847,2696,141,19.120567375886523,21.0,1805,42,0.9772604223064428,1.0,1,0
2477577-B3,254,3569,7235,254,28.484251968503937,30.5,3521,48,0.9865508545811151,1.0,0,0
2477668-B3,316,4604,6794,316,21.5,25.0,4514,90,0.9804517810599479,1.0,0,0
2477670-B2,262,3685,7613,262,29.057251908396946,34.5,3640,45,0.9877883310719131,1.0,0,2
2477695-B2,305,4519,6575,305,21.557377049180328,24.0,4463,56,0.9876078778490817,1.0,0,0
2477809-B3,202,3004,6176,202,30.574257425742573,34.0,2968,36,0.9880159786950732,1.0,0,0
2477814-B5,143,2119,4405,143,30.804195804195803,34.0,2114,5,0.9976403964134025,1.0,0,0
2477941-B2,272,3942,8435,272,31.011029411764707,36.0,3933,9,0.997716894977169,1.0,0,0
2477949-B2,188,2718,4771,188,25.377659574468087,28.5,2688,30,0.9889624724061811,1.0,0,0
2477977-B3,192,2568,5051,192,26.307291666666668,29.0,2517,51,0.9801401869158879,1.0,0,0
2478091-B4,273,4055,7383,273,27.043956043956044,30.0,4047,8,0.9980271270036991,1.0,0,0
2481696-B4,181,2513,5167,181,28.54696132596685,32.0,2492,21,0.9916434540389972,1.0,0,0
2481703-B2,237,3370,4069,237,17.168776371308017,20.0,3316,54,0.9839762611275964,1.0,0,0
2481723-B2,214,3045,6011,214,28.088785046728972,30.0,2922,123,0.9596059113300492,1.0,0,0
2481750-B2,248,3545,7381,248,29.762096774193548,33.0,3513,32,0.9909732016925247,1.0,0,0
2482055-B2,332,4895,9720,332,29.27710843373494,33.0,4787,108,0.9779366700715015,1.0,0,0
2482056-B4,223,3063,4265,223,19.12556053811659,21.0,2896,167,0.9454782892588965,1.0,2,1
2482056-B9,187,2621,4403,187,23.545454545454547,26.0,2550,71,0.972911102632583,1.0,0,0
2482461-B2,266,3947,8449,266,31.763157894736842,36.0,3917,30,0.9923992906004561,1.0,0,0
2482483-B2,339,4942,10654,339,31.42772861356932,36.0,4937,5,0.9989882638607851,1.0,0,0
2482607-B,251,3517,4923,251,19.61354581673307,23.0,3428,89,0.9746943417685527,1.0,3,0
2482886-B2,299,4097,8453,299,28.270903010033443,30.0,4049,48,0.9882841103246278,1.0,0,0
2482896-B2,143,1878,3805,143,26.60839160839161,29.0,1848,30,0.9840255591054313,1.0,0,0
2482947-B2,148,2208,3748,148,25.324324324324323,28.0,2173,35,0.9841485507246377,1.0,0,0
2482952-B2,235,3325,7078,235,30.119148936170212,34.0,3311,14,0.9957894736842106,1.0,0,0
2482956-B,100,1329,2663,100,26.63,28.5,1324,5,0.9962377727614747,1.0,1,3
2482957-B2,143,2109,4340,143,30.34965034965035,35.0,2087,22,0.9895685158843054,1.0,0,0
2482962-B2,105,1333,2334,105,22.228571428571428,22.0,1275,58,0.9564891222805701,1.0,0,0
2482964-B2,475,6988,14765,475,31.08421052631579,35.0,6947,41,0.9941327990841442,1.0,0,0
2482969-B,302,4318,9044,302,29.94701986754967,35.0,4281,37,0.991431218156554,1.0,1,0
