slide_id,low_count,high_count,low_with_child_count,low_with_child_ratio,low_no_child_count,low_child_count_mean,low_child_count_median,low_child_count_min,low_child_count_max,low_16_child_count,low_16_child_ratio,high_with_parent_count,high_with_parent_ratio,high_no_parent_count,high_multi_parent_count,high_parent_count_max,high_center_inside_total,high_fully_inside_total,high_overlap_total,low_w,low_h,high_w,high_h,fov_ratio_x,fov_ratio_y
25028010B3,239,3182,239,1.0,0,22.04602510460251,24.0,3,31,12,0.0502092050209205,3094,0.9723444374607165,88,1631,4,2939,2935,5269,4096.353347135956,4096.583919406957,1024.012618607517,1024.0,4.000295770482106,4.000570233795856
25028014B4,167,2330,167,1.0,0,22.7125748502994,25.0,4,30,4,0.023952095808383235,2228,0.9562231759656652,102,1182,4,2108,2102,3793,4096.124332200097,4096.616410446379,1024.0,1024.011852400574,4.000121418164158,4.000555658455269
25028014B5,177,2594,177,1.0,0,20.25423728813559,22.0,3,25,7,0.03954802259887006,2457,0.9471858134155744,137,901,4,2353,2353,3585,4096.27097115639,4096.613173652695,1024.0,1024.0,4.000264620269912,4.00059880239521
25028014B6,81,1074,81,1.0,0,14.876543209876543,16.0,2,20,8,0.09876543209876543,1000,0.931098696461825,74,205,2,972,971,1205,4096.0,4096.681455190772,1024.0,1024.0,4.0,4.000665483584738
25028014B7,97,1311,97,1.0,0,18.144329896907216,20.0,5,24,5,0.05154639175257732,1240,0.9458428680396643,71,520,2,1201,1201,1760,4096.0,4096.8596785799955,1024.0,1024.0306972840099,4.0,4.0007195970256655
25028134B,290,4196,290,1.0,0,25.52758620689655,30.0,3,30,4,0.013793103448275862,4140,0.9866539561487131,56,2383,4,4040,4040,7403,4096.356711565258,4096.046972477065,1024.0,1024.0117431192662,4.000348351137947,4.0
25028147B3,138,1958,138,1.0,0,23.644927536231883,26.0,5,30,4,0.028985507246376812,1913,0.9770173646578141,45,1012,4,1802,1802,3263,4096.38414405402,4096.716315109772,1024.0,1024.0137730671975,4.000375140677754,4.000645716745588
25028151B2,178,2445,178,1.0,0,28.702247191011235,32.0,6,36,3,0.016853932584269662,2436,0.996319018404908,9,1681,4,2353,2353,5109,4096.307101727447,4096.102955962196,1024.0153541654172,1024.025738990549,4.000239923224568,4.0
25028151B3,283,4005,283,1.0,0,24.381625441696112,27.0,5,30,4,0.014134275618374558,3937,0.9830212234706617,68,2194,4,3796,3796,6900,4096.194215267899,4096.513213049025,1024.0,1024.0349886104784,4.000189663347558,4.000364497904137
25028186B2,286,4181,286,1.0,0,30.867132867132867,35.0,6,36,4,0.013986013986013986,4160,0.9949772781631189,21,2917,4,4033,4033,8828,4096.132931768616,4096.513213049025,1024.0066464158683,1024.0349886104784,4.000103852944231,4.000364497904137
